"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",5295,1980,7,1,20.8,16.7,0,3.3
"2",5296,1980,7,2,22.2,16.4,0.199999999999999,3.6
"3",5297,1980,7,3,28.7,15.6,6.7,4.4
"4",5298,1980,7,4,24.8,20,2.8,0
"5",5299,1980,7,5,24.4,19,2.4,1
"6",5300,1980,7,6,29.6,18.5,7.6,1.5
"7",5301,1980,7,7,29.9,20.5,7.9,0
"8",5302,1980,7,8,28.8,20.6,6.8,0
"9",5303,1980,7,9,32.6,20.2,10.6,0
"10",5304,1980,7,10,31.1,21.6,9.1,0
"11",5305,1980,7,11,26.5,20.8,4.5,0
"12",5306,1980,7,12,30.3,18.6,8.3,1.4
"13",5307,1980,7,13,28.8,19.2,6.8,0.800000000000001
"14",5308,1980,7,14,22.9,18.4,0.899999999999999,1.6
"15",5309,1980,7,15,27.5,19.2,5.5,0.800000000000001
"16",5310,1980,7,16,29.5,17.4,7.5,2.6
"17",5311,1980,7,17,28.3,18.7,6.3,1.3
"18",5312,1980,7,18,23.7,18.7,1.7,1.3
"19",5313,1980,7,19,30.8,20.8,8.8,0
"20",5314,1980,7,20,26.1,21.6,4.1,0
"21",5315,1980,7,21,27.5,21.4,5.5,0
"22",5316,1980,7,22,28.4,22.4,6.4,0.399999999999999
"23",5317,1980,7,23,29.1,19.9,7.1,0.100000000000001
"24",5318,1980,7,24,30.4,19.2,8.4,0.800000000000001
"25",5319,1980,7,25,25.5,21,3.5,0
"26",5320,1980,7,26,30.1,21.4,8.1,0
"27",5321,1980,7,27,29.1,20.3,7.1,0
"28",5322,1980,7,28,24.5,21.2,2.5,0
"29",5323,1980,7,29,26.1,19.7,4.1,0.300000000000001
"30",5324,1980,7,30,27.5,18.2,5.5,1.8
"31",5325,1980,7,31,27.3,14.6,5.3,5.4
"32",5660,1981,7,1,24.4,21.2,2.4,0
"33",5661,1981,7,2,25.8,20.8,3.8,0
"34",5662,1981,7,3,22.1,17.5,0.100000000000001,2.5
"35",5663,1981,7,4,19.8,17.4,0.199999999999999,2.6
"36",5664,1981,7,5,26.1,19.5,4.1,0.5
"37",5665,1981,7,6,29.4,22.7,7.4,0.699999999999999
"38",5666,1981,7,7,28.7,21.4,6.7,0
"39",5667,1981,7,8,27.8,19.8,5.8,0.199999999999999
"40",5668,1981,7,9,26.4,21.8,4.4,0
"41",5669,1981,7,10,29,20,7,0
"42",5670,1981,7,11,28.7,19.7,6.7,0.300000000000001
"43",5671,1981,7,12,24.3,19.5,2.3,0.5
"44",5672,1981,7,13,30.4,21.3,8.4,0
"45",5673,1981,7,14,31.4,20,9.4,0
"46",5674,1981,7,15,32.5,21.2,10.5,0
"47",5675,1981,7,16,33.1,23.6,11.1,1.6
"48",5676,1981,7,17,32.8,23.4,10.8,1.4
"49",5677,1981,7,18,33,23.2,11,1.2
"50",5678,1981,7,19,32.6,22.2,10.6,0.199999999999999
"51",5679,1981,7,20,33.2,23.1,11.2,1.1
"52",5680,1981,7,21,32.6,24.4,10.6,2.4
"53",5681,1981,7,22,31.7,23.4,9.7,1.4
"54",5682,1981,7,23,33.2,24,11.2,2
"55",5683,1981,7,24,34.6,25.1,12.6,3.1
"56",5684,1981,7,25,35.3,24.3,13.3,2.3
"57",5685,1981,7,26,33,23.5,11,1.5
"58",5686,1981,7,27,24.7,23,2.7,1
"59",5687,1981,7,28,30.3,22.4,8.3,0.399999999999999
"60",5688,1981,7,29,30.5,24.3,8.5,2.3
"61",5689,1981,7,30,34.4,24.5,12.4,2.5
"62",5690,1981,7,31,34,23.3,12,1.3
"63",6025,1982,7,1,30.1,17.3,8.1,2.7
"64",6026,1982,7,2,30.7,17.6,8.7,2.4
"65",6027,1982,7,3,30.9,17.6,8.9,2.4
"66",6028,1982,7,4,31,16.8,9,3.2
"67",6029,1982,7,5,31.1,18.5,9.1,1.5
"68",6030,1982,7,6,33.4,19.1,11.4,0.899999999999999
"69",6031,1982,7,7,32.1,19.7,10.1,0.300000000000001
"70",6032,1982,7,8,32.8,19.3,10.8,0.699999999999999
"71",6033,1982,7,9,34.2,19.3,12.2,0.699999999999999
"72",6034,1982,7,10,31.2,20.2,9.2,0
"73",6035,1982,7,11,30.1,22.7,8.1,0.699999999999999
"74",6036,1982,7,12,28.5,18.6,6.5,1.4
"75",6037,1982,7,13,29,20.3,7,0
"76",6038,1982,7,14,32.3,19.4,10.3,0.600000000000001
"77",6039,1982,7,15,30.9,16.8,8.9,3.2
"78",6040,1982,7,16,30.3,19.4,8.3,0.600000000000001
"79",6041,1982,7,17,30.1,17.8,8.1,2.2
"80",6042,1982,7,18,30,17.6,8,2.4
"81",6043,1982,7,19,28.1,17.2,6.1,2.8
"82",6044,1982,7,20,31.3,19.2,9.3,0.800000000000001
"83",6045,1982,7,21,31.9,19.6,9.9,0.399999999999999
"84",6046,1982,7,22,32.8,18.2,10.8,1.8
"85",6047,1982,7,23,33.3,20.4,11.3,0
"86",6048,1982,7,24,26.9,23.2,4.9,1.2
"87",6049,1982,7,25,24.4,21.4,2.4,0
"88",6050,1982,7,26,31.3,21.6,9.3,0
"89",6051,1982,7,27,25.3,19.9,3.3,0.100000000000001
"90",6052,1982,7,28,27.2,19.6,5.2,0.399999999999999
"91",6053,1982,7,29,28.4,20.3,6.4,0
"92",6054,1982,7,30,30.9,22.3,8.9,0.300000000000001
"93",6055,1982,7,31,32,21.9,10,0
"94",6390,1983,7,1,30.1,19.4,8.1,0.600000000000001
"95",6391,1983,7,2,23.7,19.1,1.7,0.899999999999999
"96",6392,1983,7,3,22.3,17.8,0.300000000000001,2.2
"97",6393,1983,7,4,29,17.6,7,2.4
"98",6394,1983,7,5,23.7,17.7,1.7,2.3
"99",6395,1983,7,6,23,18.1,1,1.9
"100",6396,1983,7,7,25.6,17,3.6,3
"101",6397,1983,7,8,23.7,14.9,1.7,5.1
"102",6398,1983,7,9,27.3,18,5.3,2
"103",6399,1983,7,10,28.7,18.9,6.7,1.1
"104",6400,1983,7,11,30.5,18.2,8.5,1.8
"105",6401,1983,7,12,29.5,17.5,7.5,2.5
"106",6402,1983,7,13,31,20.3,9,0
"107",6403,1983,7,14,22.5,18.7,0.5,1.3
"108",6404,1983,7,15,27.8,18.6,5.8,1.4
"109",6405,1983,7,16,25.1,19.1,3.1,0.899999999999999
"110",6406,1983,7,17,28,18.1,6,1.9
"111",6407,1983,7,18,27.3,18,5.3,2
"112",6408,1983,7,19,24.4,19.3,2.4,0.699999999999999
"113",6409,1983,7,20,23.3,18.8,1.3,1.2
"114",6410,1983,7,21,29.2,18.6,7.2,1.4
"115",6411,1983,7,22,29.6,20,7.6,0
"116",6412,1983,7,23,29.5,22,7.5,0
"117",6413,1983,7,24,25.9,22,3.9,0
"118",6414,1983,7,25,27.7,22.2,5.7,0.199999999999999
"119",6415,1983,7,26,29.8,24.6,7.8,2.6
"120",6416,1983,7,27,28.9,23.8,6.9,1.8
"121",6417,1983,7,28,30.5,24.3,8.5,2.3
"122",6418,1983,7,29,28.6,24.3,6.6,2.3
"123",6419,1983,7,30,27.7,24.5,5.7,2.5
"124",6420,1983,7,31,30.5,25,8.5,3
"125",6756,1984,7,1,32.6,18.5,10.6,1.5
"126",6757,1984,7,2,30.1,23.7,8.1,1.7
"127",6758,1984,7,3,27.3,22.9,5.3,0.899999999999999
"128",6759,1984,7,4,24.5,21.1,2.5,0
"129",6760,1984,7,5,30.7,18,8.7,2
"130",6761,1984,7,6,31,21.6,9,0
"131",6762,1984,7,7,25.4,21.6,3.4,0
"132",6763,1984,7,8,26.3,21.2,4.3,0
"133",6764,1984,7,9,29.2,21.1,7.2,0
"134",6765,1984,7,10,30.4,22.4,8.4,0.399999999999999
"135",6766,1984,7,11,30.4,20.5,8.4,0
"136",6767,1984,7,12,23.7,20.8,1.7,0
"137",6768,1984,7,13,29.6,20.8,7.6,0
"138",6769,1984,7,14,31.2,20.7,9.2,0
"139",6770,1984,7,15,32.2,20.7,10.2,0
"140",6771,1984,7,16,30.8,20.2,8.8,0
"141",6772,1984,7,17,31,20.1,9,0
"142",6773,1984,7,18,32.7,19.8,10.7,0.199999999999999
"143",6774,1984,7,19,32.2,20.3,10.2,0
"144",6775,1984,7,20,34.1,21.4,12.1,0
"145",6776,1984,7,21,33.1,20.1,11.1,0
"146",6777,1984,7,22,27.2,20,5.2,0
"147",6778,1984,7,23,28.9,20,6.9,0
"148",6779,1984,7,24,31.5,21.5,9.5,0
"149",6780,1984,7,25,32.5,22.1,10.5,0.100000000000001
"150",6781,1984,7,26,32.4,21.2,10.4,0
"151",6782,1984,7,27,33.6,23.6,11.6,1.6
"152",6783,1984,7,28,33.9,24.2,11.9,2.2
"153",6784,1984,7,29,32,23,10,1
"154",6785,1984,7,30,32.8,22.4,10.8,0.399999999999999
"155",6786,1984,7,31,34.5,21,12.5,0
"156",7121,1985,7,1,29.5,18.7,7.5,1.3
"157",7122,1985,7,2,31,18.7,9,1.3
"158",7123,1985,7,3,24.8,20.8,2.8,0
"159",7124,1985,7,4,30.1,20.4,8.1,0
"160",7125,1985,7,5,30,20.8,8,0
"161",7126,1985,7,6,27.8,21.8,5.8,0
"162",7127,1985,7,7,27.5,20.6,5.5,0
"163",7128,1985,7,8,30.8,19,8.8,1
"164",7129,1985,7,9,30.9,22,8.9,0
"165",7130,1985,7,10,27.9,22.5,5.9,0.5
"166",7131,1985,7,11,28.8,22,6.8,0
"167",7132,1985,7,12,23.1,20.9,1.1,0
"168",7133,1985,7,13,26.7,21,4.7,0
"169",7134,1985,7,14,29.7,20.5,7.7,0
"170",7135,1985,7,15,32.6,20,10.6,0
"171",7136,1985,7,16,28.5,21.2,6.5,0
"172",7137,1985,7,17,27.1,21.2,5.1,0
"173",7138,1985,7,18,30.7,19,8.7,1
"174",7139,1985,7,19,28,21.2,6,0
"175",7140,1985,7,20,32.2,22.5,10.2,0.5
"176",7141,1985,7,21,32,21.8,10,0
"177",7142,1985,7,22,33.3,22.4,11.3,0.399999999999999
"178",7143,1985,7,23,31.4,22.3,9.4,0.300000000000001
"179",7144,1985,7,24,32.6,23.6,10.6,1.6
"180",7145,1985,7,25,33.3,21.8,11.3,0
"181",7146,1985,7,26,32.2,23.3,10.2,1.3
"182",7147,1985,7,27,33.6,23.4,11.6,1.4
"183",7148,1985,7,28,35,23,13,1
"184",7149,1985,7,29,36,23.2,14,1.2
"185",7150,1985,7,30,34.1,22.6,12.1,0.600000000000001
"186",7151,1985,7,31,33.9,24.6,11.9,2.6
"187",7486,1986,7,1,21,16,0,4
"188",7487,1986,7,2,25.1,15.4,3.1,4.6
"189",7488,1986,7,3,25.4,12.5,3.4,7.5
"190",7489,1986,7,4,25.7,14.4,3.7,5.6
"191",7490,1986,7,5,22.7,16.7,0.699999999999999,3.3
"192",7491,1986,7,6,28.6,15.5,6.6,4.5
"193",7492,1986,7,7,30.5,17.3,8.5,2.7
"194",7493,1986,7,8,33.2,18.4,11.2,1.6
"195",7494,1986,7,9,28,19.4,6,0.600000000000001
"196",7495,1986,7,10,31.4,18.7,9.4,1.3
"197",7496,1986,7,11,24,20.2,2,0
"198",7497,1986,7,12,24.5,20.1,2.5,0
"199",7498,1986,7,13,27.2,19.9,5.2,0.100000000000001
"200",7499,1986,7,14,28.5,20.6,6.5,0
"201",7500,1986,7,15,30.3,20.2,8.3,0
"202",7501,1986,7,16,26,20.2,4,0
"203",7502,1986,7,17,26.5,20.5,4.5,0
"204",7503,1986,7,18,28.3,20,6.3,0
"205",7504,1986,7,19,24.7,20.1,2.7,0
"206",7505,1986,7,20,29.4,21.4,7.4,0
"207",7506,1986,7,21,27,21.3,5,0
"208",7507,1986,7,22,29.4,20.4,7.4,0
"209",7508,1986,7,23,26.4,19.7,4.4,0.300000000000001
"210",7509,1986,7,24,24.9,20.3,2.9,0
"211",7510,1986,7,25,28,22.1,6,0.100000000000001
"212",7511,1986,7,26,27.6,23,5.6,1
"213",7512,1986,7,27,27.7,23.7,5.7,1.7
"214",7513,1986,7,28,31.8,23,9.8,1
"215",7514,1986,7,29,29,22.3,7,0.300000000000001
"216",7515,1986,7,30,32,22,10,0
"217",7516,1986,7,31,33.3,21.9,11.3,0
"218",7851,1987,7,1,30.1,17.8,8.1,2.2
"219",7852,1987,7,2,31.1,16.4,9.1,3.6
"220",7853,1987,7,3,30.9,19.2,8.9,0.800000000000001
"221",7854,1987,7,4,29.9,19.2,7.9,0.800000000000001
"222",7855,1987,7,5,30.2,19.1,8.2,0.899999999999999
"223",7856,1987,7,6,31.3,20.8,9.3,0
"224",7857,1987,7,7,31,21.2,9,0
"225",7858,1987,7,8,26.8,17.7,4.8,2.3
"226",7859,1987,7,9,32.5,16.4,10.5,3.6
"227",7860,1987,7,10,25.2,17.8,3.2,2.2
"228",7861,1987,7,11,26.8,21.4,4.8,0
"229",7862,1987,7,12,28.3,20.5,6.3,0
"230",7863,1987,7,13,28.3,20.9,6.3,0
"231",7864,1987,7,14,26.6,19.6,4.6,0.399999999999999
"232",7865,1987,7,15,24.1,20.2,2.1,0
"233",7866,1987,7,16,25.2,19.6,3.2,0.399999999999999
"234",7867,1987,7,17,28.4,20.7,6.4,0
"235",7868,1987,7,18,31,19,9,1
"236",7869,1987,7,19,31.9,20.3,9.9,0
"237",7870,1987,7,20,33.3,20.3,11.3,0
"238",7871,1987,7,21,25,22.3,3,0.300000000000001
"239",7872,1987,7,22,26,21.2,4,0
"240",7873,1987,7,23,27.5,20.3,5.5,0
"241",7874,1987,7,24,27.3,21.7,5.3,0
"242",7875,1987,7,25,30.1,20.7,8.1,0
"243",7876,1987,7,26,25.6,20.7,3.6,0
"244",7877,1987,7,27,26,21.5,4,0
"245",7878,1987,7,28,31.1,22.9,9.1,0.899999999999999
"246",7879,1987,7,29,23.7,20.9,1.7,0
"247",7880,1987,7,30,25.8,22.1,3.8,0.100000000000001
"248",7881,1987,7,31,27.9,21.9,5.9,0
"249",8217,1988,7,1,29.1,20.1,7.1,0
"250",8218,1988,7,2,24.8,21.5,2.8,0
"251",8219,1988,7,3,30.3,20.7,8.3,0
"252",8220,1988,7,4,27.9,17.7,5.9,2.3
"253",8221,1988,7,5,26.3,21.1,4.3,0
"254",8222,1988,7,6,28.5,21.3,6.5,0
"255",8223,1988,7,7,28.3,20.5,6.3,0
"256",8224,1988,7,8,24.1,21.4,2.1,0
"257",8225,1988,7,9,25.1,21.8,3.1,0
"258",8226,1988,7,10,29.5,21.2,7.5,0
"259",8227,1988,7,11,29.6,22.2,7.6,0.199999999999999
"260",8228,1988,7,12,26.1,21.5,4.1,0
"261",8229,1988,7,13,26.3,21.8,4.3,0
"262",8230,1988,7,14,28.2,23.3,6.2,1.3
"263",8231,1988,7,15,30.3,22.4,8.3,0.399999999999999
"264",8232,1988,7,16,26.2,21,4.2,0
"265",8233,1988,7,17,26,20.6,4,0
"266",8234,1988,7,18,27.8,20.4,5.8,0
"267",8235,1988,7,19,25.6,21.6,3.6,0
"268",8236,1988,7,20,27,20.9,5,0
"269",8237,1988,7,21,28.3,21.6,6.3,0
"270",8238,1988,7,22,23.1,19.9,1.1,0.100000000000001
"271",8239,1988,7,23,25.7,19.7,3.7,0.300000000000001
"272",8240,1988,7,24,25.4,19.9,3.4,0.100000000000001
"273",8241,1988,7,25,24.2,16.5,2.2,3.5
"274",8242,1988,7,26,24.8,19.8,2.8,0.199999999999999
"275",8243,1988,7,27,26.2,20.7,4.2,0
"276",8244,1988,7,28,26.7,19,4.7,1
"277",8245,1988,7,29,29.4,16.1,7.4,3.9
"278",8246,1988,7,30,32.4,14.4,10.4,5.6
"279",8247,1988,7,31,34,15.7,12,4.3
"280",8582,1989,7,1,27.4,17.2,5.4,2.8
"281",8583,1989,7,2,24.4,16.4,2.4,3.6
"282",8584,1989,7,3,26.5,15.4,4.5,4.6
"283",8585,1989,7,4,28.4,15.1,6.4,4.9
"284",8586,1989,7,5,31.3,17.5,9.3,2.5
"285",8587,1989,7,6,32.3,16.3,10.3,3.7
"286",8588,1989,7,7,33.1,16.3,11.1,3.7
"287",8589,1989,7,8,25.3,19.6,3.3,0.399999999999999
"288",8590,1989,7,9,28.1,19.3,6.1,0.699999999999999
"289",8591,1989,7,10,30.1,20,8.1,0
"290",8592,1989,7,11,23.1,19.2,1.1,0.800000000000001
"291",8593,1989,7,12,29.5,20,7.5,0
"292",8594,1989,7,13,31.1,19.7,9.1,0.300000000000001
"293",8595,1989,7,14,32.3,19.7,10.3,0.300000000000001
"294",8596,1989,7,15,25.6,21.4,3.6,0
"295",8597,1989,7,16,27.5,21.1,5.5,0
"296",8598,1989,7,17,31.4,22.9,9.4,0.899999999999999
"297",8599,1989,7,18,31,22.3,9,0.300000000000001
"298",8600,1989,7,19,31.6,23.8,9.6,1.8
"299",8601,1989,7,20,28.5,22.7,6.5,0.699999999999999
"300",8602,1989,7,21,28,20.6,6,0
"301",8603,1989,7,22,31.7,22.3,9.7,0.300000000000001
"302",8604,1989,7,23,32.5,23.5,10.5,1.5
"303",8605,1989,7,24,31.1,21.9,9.1,0
"304",8606,1989,7,25,24.8,22.4,2.8,0.399999999999999
"305",8607,1989,7,26,32.3,22.1,10.3,0.100000000000001
"306",8608,1989,7,27,24.6,19.2,2.6,0.800000000000001
"307",8609,1989,7,28,25.1,19.6,3.1,0.399999999999999
"308",8610,1989,7,29,24.5,20.6,2.5,0
"309",8611,1989,7,30,29.8,22.8,7.8,0.800000000000001
"310",8612,1989,7,31,32.7,22.8,10.7,0.800000000000001
"311",8947,1990,7,1,25.9,13.6,3.9,6.4
"312",8948,1990,7,2,20.8,17.8,0,2.2
"313",8949,1990,7,3,24.4,17.2,2.4,2.8
"314",8950,1990,7,4,24.3,19,2.3,1
"315",8951,1990,7,5,29.4,18.8,7.4,1.2
"316",8952,1990,7,6,29.5,20.9,7.5,0
"317",8953,1990,7,7,26.5,21.7,4.5,0
"318",8954,1990,7,8,31.1,22.2,9.1,0.199999999999999
"319",8955,1990,7,9,33.3,21.2,11.3,0
"320",8956,1990,7,10,32.5,22.3,10.5,0.300000000000001
"321",8957,1990,7,11,25.8,22.8,3.8,0.800000000000001
"322",8958,1990,7,12,31.5,20.8,9.5,0
"323",8959,1990,7,13,28.5,19.6,6.5,0.399999999999999
"324",8960,1990,7,14,23.6,20.9,1.6,0
"325",8961,1990,7,15,24.7,19.8,2.7,0.199999999999999
"326",8962,1990,7,16,28.1,21.7,6.1,0
"327",8963,1990,7,17,26.6,19.5,4.6,0.5
"328",8964,1990,7,18,27.4,21,5.4,0
"329",8965,1990,7,19,31,20.2,9,0
"330",8966,1990,7,20,25.7,22.6,3.7,0.600000000000001
"331",8967,1990,7,21,27.7,22.9,5.7,0.899999999999999
"332",8968,1990,7,22,29.8,21.8,7.8,0
"333",8969,1990,7,23,26.7,23,4.7,1
"334",8970,1990,7,24,26.1,21.2,4.1,0
"335",8971,1990,7,25,26.3,20.6,4.3,0
"336",8972,1990,7,26,26,22.4,4,0.399999999999999
"337",8973,1990,7,27,29.5,21.2,7.5,0
"338",8974,1990,7,28,32.9,23.3,10.9,1.3
"339",8975,1990,7,29,34.5,22.7,12.5,0.699999999999999
"340",8976,1990,7,30,34.9,24.1,12.9,2.1
"341",8977,1990,7,31,34.1,23.5,12.1,1.5
"342",9312,1991,7,1,28.2,20.3,6.2,0
"343",9313,1991,7,2,29.6,20,7.6,0
"344",9314,1991,7,3,31.3,20.1,9.3,0
"345",9315,1991,7,4,30.4,20.4,8.4,0
"346",9316,1991,7,5,31.4,18.6,9.4,1.4
"347",9317,1991,7,6,31.7,20.2,9.7,0
"348",9318,1991,7,7,24,18.4,2,1.6
"349",9319,1991,7,8,26,16.5,4,3.5
"350",9320,1991,7,9,24,18.4,2,1.6
"351",9321,1991,7,10,29.9,20.6,7.9,0
"352",9322,1991,7,11,25.8,18.6,3.8,1.4
"353",9323,1991,7,12,28.9,17.6,6.9,2.4
"354",9324,1991,7,13,29.8,19.9,7.8,0.100000000000001
"355",9325,1991,7,14,28.2,21,6.2,0
"356",9326,1991,7,15,23.9,20.7,1.9,0
"357",9327,1991,7,16,27.5,21.5,5.5,0
"358",9328,1991,7,17,31.2,21.8,9.2,0
"359",9329,1991,7,18,32,20.9,10,0
"360",9330,1991,7,19,25.8,22,3.8,0
"361",9331,1991,7,20,28.2,23.2,6.2,1.2
"362",9332,1991,7,21,27.5,22.9,5.5,0.899999999999999
"363",9333,1991,7,22,28.6,22.8,6.6,0.800000000000001
"364",9334,1991,7,23,27.9,22.2,5.9,0.199999999999999
"365",9335,1991,7,24,26.6,24.6,4.6,2.6
"366",9336,1991,7,25,24.6,20.3,2.6,0
"367",9337,1991,7,26,28.3,17.5,6.3,2.5
"368",9338,1991,7,27,29.6,19.9,7.6,0.100000000000001
"369",9339,1991,7,28,31.2,21,9.2,0
"370",9340,1991,7,29,29.6,21.8,7.6,0
"371",9341,1991,7,30,29.6,22.3,7.6,0.300000000000001
"372",9342,1991,7,31,27.8,20,5.8,0
"373",9678,1992,7,1,27.9,17.8,5.9,2.2
"374",9679,1992,7,2,22.8,17.2,0.800000000000001,2.8
"375",9680,1992,7,3,25.8,19.1,3.8,0.899999999999999
"376",9681,1992,7,4,30.8,20.4,8.8,0
"377",9682,1992,7,5,32.4,17.8,10.4,2.2
"378",9683,1992,7,6,33.4,16.5,11.4,3.5
"379",9684,1992,7,7,32.9,18.9,10.9,1.1
"380",9685,1992,7,8,32.1,19.7,10.1,0.300000000000001
"381",9686,1992,7,9,30.2,18.2,8.2,1.8
"382",9687,1992,7,10,24.9,20,2.9,0
"383",9688,1992,7,11,22.4,20,0.399999999999999,0
"384",9689,1992,7,12,27.4,19.3,5.4,0.699999999999999
"385",9690,1992,7,13,28.7,20.2,6.7,0
"386",9691,1992,7,14,28.2,20.6,6.2,0
"387",9692,1992,7,15,29.5,20.7,7.5,0
"388",9693,1992,7,16,29.2,20.1,7.2,0
"389",9694,1992,7,17,23.8,21.5,1.8,0
"390",9695,1992,7,18,30.4,21.8,8.4,0
"391",9696,1992,7,19,31.8,20.6,9.8,0
"392",9697,1992,7,20,29.9,22.6,7.9,0.600000000000001
"393",9698,1992,7,21,30.9,25.8,8.9,3.8
"394",9699,1992,7,22,29.6,24.5,7.6,2.5
"395",9700,1992,7,23,31.4,22,9.4,0
"396",9701,1992,7,24,28.5,21.7,6.5,0
"397",9702,1992,7,25,28.2,25,6.2,3
"398",9703,1992,7,26,31.4,25.3,9.4,3.3
"399",9704,1992,7,27,26.6,25,4.6,3
"400",9705,1992,7,28,32.2,23.6,10.2,1.6
"401",9706,1992,7,29,32.1,25,10.1,3
"402",9707,1992,7,30,28.2,24.2,6.2,2.2
"403",9708,1992,7,31,30.6,22.4,8.6,0.399999999999999
"404",10043,1993,7,1,28.6,16.7,6.6,3.3
"405",10044,1993,7,2,30,17.4,8,2.6
"406",10045,1993,7,3,30.5,13,8.5,7
"407",10046,1993,7,4,31.6,18.5,9.6,1.5
"408",10047,1993,7,5,32.9,17.7,10.9,2.3
"409",10048,1993,7,6,30.5,19.5,8.5,0.5
"410",10049,1993,7,7,30.6,17.7,8.6,2.3
"411",10050,1993,7,8,22.3,19.6,0.300000000000001,0.399999999999999
"412",10051,1993,7,9,28.5,19.6,6.5,0.399999999999999
"413",10052,1993,7,10,29.8,20.1,7.8,0
"414",10053,1993,7,11,26,20.1,4,0
"415",10054,1993,7,12,23.7,20.5,1.7,0
"416",10055,1993,7,13,24.7,21.7,2.7,0
"417",10056,1993,7,14,28.9,19.1,6.9,0.899999999999999
"418",10057,1993,7,15,30.1,19,8.1,1
"419",10058,1993,7,16,27,20.3,5,0
"420",10059,1993,7,17,21.3,18.3,0,1.7
"421",10060,1993,7,18,25.7,16.7,3.7,3.3
"422",10061,1993,7,19,26,15.7,4,4.3
"423",10062,1993,7,20,25.9,14,3.9,6
"424",10063,1993,7,21,26.1,13.2,4.1,6.8
"425",10064,1993,7,22,28.6,13.3,6.6,6.7
"426",10065,1993,7,23,26.8,16,4.8,4
"427",10066,1993,7,24,24.4,19,2.4,1
"428",10067,1993,7,25,24.7,19,2.7,1
"429",10068,1993,7,26,24.9,17.1,2.9,2.9
"430",10069,1993,7,27,27.3,19.3,5.3,0.699999999999999
"431",10070,1993,7,28,30.1,19.8,8.1,0.199999999999999
"432",10071,1993,7,29,24.8,20.6,2.8,0
"433",10072,1993,7,30,27.6,19.7,5.6,0.300000000000001
"434",10073,1993,7,31,29,21.6,7,0
"435",10408,1994,7,1,26.3,22.9,4.3,0.899999999999999
"436",10409,1994,7,2,31.4,22,9.4,0
"437",10410,1994,7,3,27.9,21.7,5.9,0
"438",10411,1994,7,4,29.5,22,7.5,0
"439",10412,1994,7,5,26.4,22,4.4,0
"440",10413,1994,7,6,28.1,22,6.1,0
"441",10414,1994,7,7,30.2,23.7,8.2,1.7
"442",10415,1994,7,8,31.3,24,9.3,2
"443",10416,1994,7,9,32.3,24.2,10.3,2.2
"444",10417,1994,7,10,28.6,24.1,6.6,2.1
"445",10418,1994,7,11,31.9,23.8,9.9,1.8
"446",10419,1994,7,12,34.4,21.9,12.4,0
"447",10420,1994,7,13,34.6,23.4,12.6,1.4
"448",10421,1994,7,14,31.2,26.8,9.2,4.8
"449",10422,1994,7,15,32.7,24.3,10.7,2.3
"450",10423,1994,7,16,34.8,23.1,12.8,1.1
"451",10424,1994,7,17,33.3,22.3,11.3,0.300000000000001
"452",10425,1994,7,18,35.1,23.9,13.1,1.9
"453",10426,1994,7,19,34.3,23.9,12.3,1.9
"454",10427,1994,7,20,33.3,22.7,11.3,0.699999999999999
"455",10428,1994,7,21,35,23.9,13,1.9
"456",10429,1994,7,22,36.5,24.9,14.5,2.9
"457",10430,1994,7,23,36.1,24.3,14.1,2.3
"458",10431,1994,7,24,36.2,23.2,14.2,1.2
"459",10432,1994,7,25,35.6,22.5,13.6,0.5
"460",10433,1994,7,26,34.4,22.3,12.4,0.300000000000001
"461",10434,1994,7,27,33.4,22.5,11.4,0.5
"462",10435,1994,7,28,33.6,24,11.6,2
"463",10436,1994,7,29,35.8,25.6,13.8,3.6
"464",10437,1994,7,30,33.4,25.7,11.4,3.7
"465",10438,1994,7,31,33.6,24.9,11.6,2.9
"466",10773,1995,7,1,26.7,19.4,4.7,0.600000000000001
"467",10774,1995,7,2,25.6,20,3.6,0
"468",10775,1995,7,3,28.2,18.8,6.2,1.2
"469",10776,1995,7,4,29.2,17,7.2,3
"470",10777,1995,7,5,30.1,17.6,8.1,2.4
"471",10778,1995,7,6,27.5,15.1,5.5,4.9
"472",10779,1995,7,7,31,17.7,9,2.3
"473",10780,1995,7,8,23.8,20.4,1.8,0
"474",10781,1995,7,9,27.1,22.6,5.1,0.600000000000001
"475",10782,1995,7,10,25.4,20.6,3.4,0
"476",10783,1995,7,11,27,21.9,5,0
"477",10784,1995,7,12,27.1,23.1,5.1,1.1
"478",10785,1995,7,13,26.7,24.1,4.7,2.1
"479",10786,1995,7,14,25.7,23.6,3.7,1.6
"480",10787,1995,7,15,26,23.3,4,1.3
"481",10788,1995,7,16,30.3,22.9,8.3,0.899999999999999
"482",10789,1995,7,17,23.6,19.7,1.6,0.300000000000001
"483",10790,1995,7,18,27.4,17.8,5.4,2.2
"484",10791,1995,7,19,21.4,18.4,0,1.6
"485",10792,1995,7,20,21.4,17.5,0,2.5
"486",10793,1995,7,21,27.3,19.4,5.3,0.600000000000001
"487",10794,1995,7,22,31.5,18.5,9.5,1.5
"488",10795,1995,7,23,33.8,21.1,11.8,0
"489",10796,1995,7,24,30.3,20.9,8.3,0
"490",10797,1995,7,25,30,19.4,8,0.600000000000001
"491",10798,1995,7,26,32,22.2,10,0.199999999999999
"492",10799,1995,7,27,29.8,22,7.8,0
"493",10800,1995,7,28,32,20,10,0
